"['MV', 'Title', 'Artists', 'TW', 'LW', 'OC', 'PLS', 'PK']"
2022-11-07 to 2022-11-20,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,I Like It,"Cardi B, Bad Bunny, J Balvin",46,-,1,3,46
NEW,"El Humo - Canción Original De La Película ""Lo Dejo Cuando Quiera""",Lola Indigo,46,-,1,3,46
NEW,Callaita,"Bad Bunny, Tainy",46,-,1,3,46
NEW,Game Over,Lola Indigo,46,-,1,3,46
NEW,Sin Pijama,"Becky G, Natti Natasha",46,-,1,3,46
NEW,no tears left to cry,Ariana Grande,52,-,1,2,52
NEW,bad guy,Billie Eilish,52,-,1,2,52
NEW,Runaway,"Sebastian Yatra, Daddy Yankee, Natti Natasha, Jonas Brothers",52,-,1,2,52
NEW,Sweet but Psycho,Ava Max,52,-,1,2,52
NEW,Nada Sale Mal,Aitana,52,-,1,2,52
NEW,7 rings,Ariana Grande,52,-,1,2,52
NEW,Me Quedo,"Aitana, Lola Indigo",52,-,1,2,52
NEW,boyfriend (with Social House),"Ariana Grande, Social House",52,-,1,2,52
NEW,Duro y Suave,"Leslie Grace, Noriel",52,-,1,2,52
,,,,,,,
